Country,Clicks,Impressions,CTR,Position
Lithuania,11,156,7.05%,19.67
Croatia,6,196,3.06%,16.76
Bulgaria,6,188,3.19%,23.39
Poland,4,388,1.03%,33.18
Greece,4,369,1.08%,22.77
Italy,4,342,1.17%,36.53
Slovakia,4,145,2.76%,36.76
Germany,3,631,0.48%,48.9
Spain,3,595,0.5%,35.82
Latvia,3,214,1.4%,29.47
Malta,2,582,0.34%,8.72
France,2,261,0.77%,21.28
Estonia,2,237,0.84%,21.96
Finland,2,228,0.88%,14.64
United Kingdom,1,926,0.11%,55.45
Netherlands,1,618,0.16%,49.01
Belgium,1,205,0.49%,40.1
Czechia,1,204,0.49%,38.4
Romania,1,191,0.52%,47.28
Turkey,1,101,0.99%,41.27
Austria,1,96,1.04%,33.73
Portugal,1,85,1.18%,15.86
Russia,1,46,2.17%,31.5
Cyprus,1,40,2.5%,19.8
Malaysia,1,25,4%,20.04
Mexico,1,16,6.25%,9.44
United States,0,2065,0%,25.23
Denmark,0,363,0%,39.37
Norway,0,287,0%,49.25
Ireland,0,287,0%,55.81
Sweden,0,258,0%,43.47
Hungary,0,117,0%,35.34
India,0,105,0%,21.87
Switzerland,0,98,0%,24.3
China,0,55,0%,23.07
Luxembourg,0,52,0%,20.44
United Arab Emirates,0,50,0%,46.6
Slovenia,0,49,0%,16.04
Canada,0,47,0%,25.72
Ukraine,0,47,0%,53.36
Morocco,0,33,0%,33
Brazil,0,31,0%,14.13
Australia,0,26,0%,28.88
South Korea,0,24,0%,11
Vietnam,0,24,0%,25
Monaco,0,24,0%,46.33
Indonesia,0,19,0%,14
Pakistan,0,17,0%,13
Iceland,0,16,0%,22.75
Israel,0,16,0%,44.56
Serbia,0,15,0%,8.8
Japan,0,15,0%,18.27
South Africa,0,14,0%,15.79
Philippines,0,11,0%,13.09
Singapore,0,11,0%,28.27
Thailand,0,10,0%,8.7
Bosnia & Herzegovina,0,10,0%,9
Argentina,0,9,0%,14.44
Hong Kong,0,8,0%,11.62
Iraq,0,7,0%,6.86
Colombia,0,7,0%,18.14
Bangladesh,0,7,0%,23.14
Albania,0,6,0%,9.5
Algeria,0,6,0%,50
Macedonia,0,5,0%,7
Venezuela,0,5,0%,9.2
Peru,0,5,0%,27
Saudi Arabia,0,5,0%,49.8
Yemen,0,4,0%,1
Iran,0,4,0%,5
Myanmar (Burma),0,4,0%,7
Montenegro,0,4,0%,7.5
Chile,0,4,0%,10.5
Kosovo,0,4,0%,11.5
Moldova,0,4,0%,13
New Zealand,0,4,0%,14.25
Palestine,0,4,0%,28.75
Madagascar,0,3,0%,6
Taiwan,0,3,0%,7
Åland Islands,0,3,0%,8.67
Sri Lanka,0,3,0%,9.33
Azerbaijan,0,3,0%,17.67
Uzbekistan,0,3,0%,20
Egypt,0,3,0%,23
Dominican Republic,0,3,0%,46.67
Bahrain,0,2,0%,2.5
Congo - Kinshasa,0,2,0%,3.5
Ecuador,0,2,0%,6
Nepal,0,2,0%,7
Tunisia,0,2,0%,8
Lebanon,0,2,0%,8.5
Belarus,0,2,0%,9.5
Kenya,0,2,0%,14
Armenia,0,2,0%,55
Malawi,0,1,0%,1
Swaziland,0,1,0%,1
Kazakhstan,0,1,0%,2
Qatar,0,1,0%,4
Turkmenistan,0,1,0%,4
Afghanistan,0,1,0%,5
Tanzania,0,1,0%,6
Cameroon,0,1,0%,7
Greenland,0,1,0%,7
Nigeria,0,1,0%,7
Uruguay,0,1,0%,7
Bolivia,0,1,0%,9
Cuba,0,1,0%,9
Kuwait,0,1,0%,9
Oman,0,1,0%,9
Costa Rica,0,1,0%,10
Equatorial Guinea,0,1,0%,10
Nicaragua,0,1,0%,10
Réunion,0,1,0%,11
Vanuatu,0,1,0%,11
Kyrgyzstan,0,1,0%,34
Ethiopia,0,1,0%,37
Paraguay,0,1,0%,37
Côte d’Ivoire,0,1,0%,40
Unknown Region,0,1,0%,99