Top pages,Clicks,Impressions,CTR,Position
https://vat.businesspress.io/vat-changes,4,199,2.01%,51.78
https://vat.businesspress.io/vat-number-validator/iceland,4,42,9.52%,10.57
https://vat.businesspress.io/es/vat-number-validator/switzerland,2,34,5.88%,28.68
https://vat.businesspress.io/el/vat-number-validator/romania,2,28,7.14%,19.89
https://vat.businesspress.io/fr/vat-number-validator/turkey,2,21,9.52%,17.14
https://vat.businesspress.io/mcp-server,2,20,10%,6.6
https://vat.businesspress.io/country/lithuania,2,20,10%,15.35
https://vat.businesspress.io/bg/vat-number-validator/switzerland,2,7,28.57%,9.14
https://vat.businesspress.io/lv/vat-number-validator/lithuania,2,7,28.57%,40.29
https://vat.businesspress.io/hr/vat-number-validator/spain,2,4,50%,3.5
https://vat.businesspress.io/vat-calculator/malta,1,503,0.2%,9.71
https://vat.businesspress.io/vat-calculator/switzerland,1,173,0.58%,28.44
https://vat.businesspress.io/de/vat-validation-api,1,130,0.77%,13.18
https://vat.businesspress.io/vat-calculator/slovakia,1,124,0.81%,51.93
https://vat.businesspress.io/hr/vat-number-validator,1,115,0.87%,18.47
https://vat.businesspress.io/vat-calculator/netherlands,1,93,1.08%,39.76
https://vat.businesspress.io/vat-number-validator/malta,1,62,1.61%,19.73
https://vat.businesspress.io/el/vat-number-validator/norway,1,57,1.75%,42.75
https://vat.businesspress.io/country/malta,1,54,1.85%,47.72
https://vat.businesspress.io/et,1,33,3.03%,27.21
https://vat.businesspress.io/it/vat-number-validator/united-kingdom,1,25,4%,17.64
https://vat.businesspress.io/pl/country/austria,1,24,4.17%,34.17
https://vat.businesspress.io/el/vat-number-validator/turkey,1,23,4.35%,19.57
https://vat.businesspress.io/fi/vat-number-validator/finland,1,22,4.55%,23.41
https://vat.businesspress.io/el/vat-number-validator/austria,1,19,5.26%,7.05
https://vat.businesspress.io/country/turkey,1,14,7.14%,24.93
https://vat.businesspress.io/hr/vat-number-validator/switzerland,1,14,7.14%,44.5
https://vat.businesspress.io/sk/vat-number-validator/switzerland,1,14,7.14%,68.71
https://vat.businesspress.io/hr/vat-number-validator/norway,1,11,9.09%,49.27
https://vat.businesspress.io/vat-calculator/austria,1,11,9.09%,71.27
https://vat.businesspress.io/vat-number-validator/poland,1,9,11.11%,6.89
https://vat.businesspress.io/pl/vat-map,1,9,11.11%,9.89
https://vat.businesspress.io/cs/vat-number-validator/switzerland,1,9,11.11%,41
https://vat.businesspress.io/lt/tools,1,8,12.5%,4.38
https://vat.businesspress.io/bg/vat-number-validator/slovenia,1,8,12.5%,6
https://vat.businesspress.io/es/vat-number-validator/lithuania,1,8,12.5%,16.62
https://vat.businesspress.io/it/vat-calculator/finland,1,6,16.67%,5.33
https://vat.businesspress.io/sk/vat-calculator/poland,1,6,16.67%,21.83
https://vat.businesspress.io/fi/vat-number-validator/spain,1,6,16.67%,30.17
https://vat.businesspress.io/bg/vat-number-validator/turkey,1,5,20%,7
https://vat.businesspress.io/vat-number-validator/turkey,1,5,20%,8
https://vat.businesspress.io/pt/vat-number-validator/portugal,1,5,20%,18.8
https://vat.businesspress.io/es/vat-number-validator/belgium,1,4,25%,20.5
https://vat.businesspress.io/lv/vat-calculator/iceland,1,4,25%,28.5
https://vat.businesspress.io/et/vat-number-validator/latvia,1,4,25%,31
https://vat.businesspress.io/bg/tools,1,2,50%,1
https://vat.businesspress.io/lt/chrome-extension,1,2,50%,3
https://vat.businesspress.io/de/vat-calculation/poland/5000/23.00/include,1,2,50%,3.5
https://vat.businesspress.io/ro/vat-number-validator/netherlands,1,2,50%,5
https://vat.businesspress.io/sk/vat-calculator/austria,1,2,50%,6.5
https://vat.businesspress.io/el/vat-calculator/cyprus,1,2,50%,10.5
https://vat.businesspress.io/bg/vat-number-validator/romania,1,2,50%,13
https://vat.businesspress.io/sk/vat-number-validator/turkey,1,2,50%,15.5
https://vat.businesspress.io/hr/vat-number-validator/estonia,1,1,100%,1
https://vat.businesspress.io/pl/vat-calculator/switzerland,1,1,100%,4
https://vat.businesspress.io/vat-calculator/poland,0,495,0%,28.5
https://vat.businesspress.io/vat-number-validator/norway,0,387,0%,37.36
https://vat.businesspress.io/vat-calculator/hungary,0,363,0%,51.21
https://vat.businesspress.io/nl,0,350,0%,58.77
https://vat.businesspress.io/de/vat-number-validator/germany,0,267,0%,52.58
https://vat.businesspress.io/vat-number-validator/ireland,0,221,0%,61.72
https://vat.businesspress.io/country/slovakia,0,192,0%,38.44
https://vat.businesspress.io/vat-calculator/greece,0,180,0%,16.35
https://vat.businesspress.io/vat-calculator/norway,0,174,0%,56.16
https://vat.businesspress.io/vat-calculator/united-kingdom,0,171,0%,64.04
https://vat.businesspress.io/es/vat-number-validator,0,156,0%,54.58
https://vat.businesspress.io/el/vat-number-validator,0,140,0%,48.7
https://vat.businesspress.io/el/country/romania,0,140,0%,69.02
https://vat.businesspress.io/country/belgium,0,133,0%,32.09
https://vat.businesspress.io/da/country/norway,0,129,0%,58.89
https://vat.businesspress.io/vat-number-validator/italy,0,118,0%,51.21
https://vat.businesspress.io/bg/vat-number-validator,0,109,0%,36.21
https://vat.businesspress.io/nl/vat-number-validator/belgium,0,99,0%,51.3
https://vat.businesspress.io/ga/country/hungary,0,92,0%,68.89
https://vat.businesspress.io/mt/vat-calculator/malta,0,90,0%,91.34
https://vat.businesspress.io/vat-calculator/czech-republic,0,89,0%,32.87
https://vat.businesspress.io/de/vat-number-validator/switzerland,0,89,0%,51.29
https://vat.businesspress.io/vat-calculator/romania,0,87,0%,65.63
https://vat.businesspress.io/vat-calculator/germany,0,85,0%,64.74
https://vat.businesspress.io/vat-calculator/italy,0,83,0%,39.23
https://vat.businesspress.io/et/vat-number-validator,0,81,0%,33.2
https://vat.businesspress.io/mt/vat-calculator/norway,0,81,0%,76.7
https://vat.businesspress.io/cs/vat-number-validator,0,80,0%,38.61
https://vat.businesspress.io/ro/country/romania,0,77,0%,60.55
https://vat.businesspress.io/,0,75,0%,22.11
https://vat.businesspress.io/ga/country/united-kingdom,0,75,0%,76.87
https://vat.businesspress.io/vat-calculator/sweden,0,74,0%,30.81
https://vat.businesspress.io/country/netherlands,0,71,0%,26.39
https://vat.businesspress.io/da/vat-number-validator/germany,0,71,0%,33.3
https://vat.businesspress.io/de/country/malta,0,71,0%,47.76
https://vat.businesspress.io/mt/vat-number-validator/norway,0,71,0%,53.9
https://vat.businesspress.io/vat-calculator/ireland,0,71,0%,55.44
https://vat.businesspress.io/mt/vat-calculator/italy,0,65,0%,80.66
https://vat.businesspress.io/sv/country/norway,0,63,0%,2.6
https://vat.businesspress.io/sv/vat-number-validator,0,63,0%,65.73
https://vat.businesspress.io/vat-calculator/spain,0,62,0%,52.92
https://vat.businesspress.io/fr/vat-number-validator/hungary,0,62,0%,83.31
https://vat.businesspress.io/vat-calculator/denmark,0,61,0%,17.07
https://vat.businesspress.io/vat-calculator/finland,0,60,0%,16.22
https://vat.businesspress.io/da/vat-number-validator,0,60,0%,55.45
https://vat.businesspress.io/lv/vat-number-validator/hungary,0,53,0%,89.17
https://vat.businesspress.io/el/vat-number-validator/hungary,0,52,0%,83.19
https://vat.businesspress.io/vat-calculator/portugal,0,51,0%,15.04
https://vat.businesspress.io/lv/top-vat-calculations/10000,0,51,0%,40.57
https://vat.businesspress.io/el/vat-number-validator/germany,0,51,0%,63.22
https://vat.businesspress.io/lv/vat-calculator/romania,0,51,0%,65.2
https://vat.businesspress.io/cs/country/hungary,0,51,0%,82.39
https://vat.businesspress.io/lv/vat-number-validator/norway,0,50,0%,63.34
https://vat.businesspress.io/ga/country/norway,0,48,0%,37.71
https://vat.businesspress.io/mt/vat-number-validator/italy,0,48,0%,66.6
https://vat.businesspress.io/mt/vat-number-validator/switzerland,0,46,0%,42.87
https://vat.businesspress.io/vat-calculator/croatia,0,46,0%,49.41
https://vat.businesspress.io/pl/vat-number-validator/united-kingdom,0,46,0%,54.96
https://vat.businesspress.io/mt/vat-number-validator/spain,0,46,0%,67.59
https://vat.businesspress.io/mt/vat-calculator/hungary,0,45,0%,54.51
https://vat.businesspress.io/country/france,0,44,0%,43.55
https://vat.businesspress.io/el/vat-number-validator/greece,0,43,0%,32.23
https://vat.businesspress.io/country/poland,0,42,0%,8.14
https://vat.businesspress.io/country/italy,0,42,0%,24.55
https://vat.businesspress.io/vat-calculator/estonia,0,42,0%,33.48
https://vat.businesspress.io/bg/country/slovakia,0,42,0%,43.36
https://vat.businesspress.io/da/country/hungary,0,41,0%,25.56
https://vat.businesspress.io/de/vat-number-validator/ireland,0,41,0%,74.34
https://vat.businesspress.io/mt/vat-number-validator/hungary,0,41,0%,81.66
https://vat.businesspress.io/lv/vat-number-validator,0,40,0%,23.4
https://vat.businesspress.io/et/top-vat-calculations/10000,0,39,0%,23.92
https://vat.businesspress.io/bg/vat-number-validator/bulgaria,0,39,0%,39.05
https://vat.businesspress.io/sv/country/malta,0,39,0%,50.13
https://vat.businesspress.io/sk/country/hungary,0,39,0%,63.44
https://vat.businesspress.io/de/country/iceland,0,38,0%,7.97
https://vat.businesspress.io/vat-calculator/bulgaria,0,38,0%,19.79
https://vat.businesspress.io/sv/country/austria,0,37,0%,65.49
https://vat.businesspress.io/et/top-vat-calculations,0,36,0%,57.78
https://vat.businesspress.io/cs/vat-number-validator/czech-republic,0,36,0%,60.58
https://vat.businesspress.io/sv/vat-calculator/finland,0,35,0%,25.06
https://vat.businesspress.io/hr/vat-number-validator/croatia,0,35,0%,30.54
https://vat.businesspress.io/es/vat-number-validator/spain,0,35,0%,40.03
https://vat.businesspress.io/da/country/denmark,0,35,0%,42.8
https://vat.businesspress.io/et/vat-number-validator/hungary,0,35,0%,87.43
https://vat.businesspress.io/sk/vat-calculator/slovakia,0,34,0%,42.74
https://vat.businesspress.io/fi/country/slovakia,0,34,0%,46.79
https://vat.businesspress.io/da/vat-number-validator/denmark,0,34,0%,48.15
https://vat.businesspress.io/et/vat-number-validator/norway,0,33,0%,57.03
https://vat.businesspress.io/hu/country/romania,0,33,0%,67.33
https://vat.businesspress.io/es/country/switzerland,0,33,0%,81.18
https://vat.businesspress.io/sk/vat-number-validator,0,31,0%,40.58
https://vat.businesspress.io/lt/vat-number-validator/hungary,0,31,0%,82.58
https://vat.businesspress.io/hr/country/hungary,0,30,0%,37.03
https://vat.businesspress.io/ro/country/croatia,0,30,0%,63.87
https://vat.businesspress.io/da/vat-number-validator/sweden,0,30,0%,69.8
https://vat.businesspress.io/vat-validation-api,0,28,0%,12.68
https://vat.businesspress.io/da/country/portugal,0,27,0%,8.96
https://vat.businesspress.io/vat-number-validator/cyprus,0,27,0%,11.41
https://vat.businesspress.io/el/vat-number-validator/united-kingdom,0,27,0%,68.3
https://vat.businesspress.io/mt/vat-number-validator/united-kingdom,0,27,0%,69.74
https://vat.businesspress.io/mt/vat-calculator/slovakia,0,27,0%,80.15
https://vat.businesspress.io/sv/vat-number-validator/malta,0,26,0%,24.5
https://vat.businesspress.io/el/vat-number-validator/netherlands,0,26,0%,55.65
https://vat.businesspress.io/lv/top-vat-calculations,0,26,0%,62.73
https://vat.businesspress.io/fi/country/greece,0,26,0%,71.81
https://vat.businesspress.io/cs/country/iceland,0,25,0%,5.8
https://vat.businesspress.io/fi/country/finland,0,25,0%,8.8
https://vat.businesspress.io/country/switzerland,0,25,0%,13.2
https://vat.businesspress.io/mt/vat-number-validator/malta,0,25,0%,27.68
https://vat.businesspress.io/hu/vat-number-validator/ireland,0,25,0%,78
https://vat.businesspress.io/fr/vat-calculator/luxembourg,0,24,0%,21
https://vat.businesspress.io/sl/vat-number-validator,0,24,0%,25.17
https://vat.businesspress.io/vat-number-validator/luxembourg,0,24,0%,26.46
https://vat.businesspress.io/country/bulgaria,0,24,0%,28.5
https://vat.businesspress.io/da/vat-number-validator/norway,0,24,0%,46.08
https://vat.businesspress.io/mt/vat-number-validator,0,24,0%,59.88
https://vat.businesspress.io/sv/vat-number-validator/sweden,0,24,0%,65.08
https://vat.businesspress.io/bg/country/spain,0,24,0%,75.46
https://vat.businesspress.io/fi/vat-calculator/hungary,0,24,0%,93.92
https://vat.businesspress.io/de/country/austria,0,23,0%,10.17
https://vat.businesspress.io/de/country/estonia,0,23,0%,54.52
https://vat.businesspress.io/vat-calculator/belgium,0,23,0%,76.09
https://vat.businesspress.io/et/vat-calculator/estonia,0,22,0%,22.27
https://vat.businesspress.io/vat-calculator/turkey,0,22,0%,29.91
https://vat.businesspress.io/sv/vat-calculator/denmark,0,22,0%,51.64
https://vat.businesspress.io/cs/country/norway,0,22,0%,58.95
https://vat.businesspress.io/de/vat-number-validator/belgium,0,22,0%,63.32
https://vat.businesspress.io/mt/vat-calculator/croatia,0,22,0%,88.73
https://vat.businesspress.io/ga/vat-calculator/croatia,0,22,0%,95.18
https://vat.businesspress.io/sk/country/czech-republic,0,21,0%,16.33
https://vat.businesspress.io/ga/country/belgium,0,21,0%,19.57
https://vat.businesspress.io/fr/vat-number-validator/luxembourg,0,21,0%,19.9
https://vat.businesspress.io/de/vat-number-validator/luxembourg,0,21,0%,68.38
https://vat.businesspress.io/et/vat-number-validator/switzerland,0,21,0%,73.38
https://vat.businesspress.io/mt/vat-number-validator/ireland,0,21,0%,82.81
https://vat.businesspress.io/vat-number-validator/lithuania,0,20,0%,18.65
https://vat.businesspress.io/nl/vat-calculation/greece/100/24.00/include,0,20,0%,36.7
https://vat.businesspress.io/sv,0,20,0%,41.35
https://vat.businesspress.io/lv/vat-number-validator/latvia,0,20,0%,42.7
https://vat.businesspress.io/vat-calculator/france,0,20,0%,57.7
https://vat.businesspress.io/lt/vat-number-validator/spain,0,20,0%,61.7
https://vat.businesspress.io/es/country/denmark,0,20,0%,63.5
https://vat.businesspress.io/bg/country/ireland,0,20,0%,77.3
https://vat.businesspress.io/mt/vat-calculator/denmark,0,20,0%,82.55
https://vat.businesspress.io/pt/vat-calculator/portugal,0,19,0%,7.32
https://vat.businesspress.io/sv/country/portugal,0,19,0%,15.68
https://vat.businesspress.io/ga/country/bulgaria,0,19,0%,32.47
https://vat.businesspress.io/pl/vat-calculation/austria/2500/11.5/exclude,0,19,0%,44.68
https://vat.businesspress.io/de/country/finland,0,19,0%,56.05
https://vat.businesspress.io/de/vat-number-validator/sweden,0,19,0%,73.42
https://vat.businesspress.io/et/vat-number-validator/italy,0,19,0%,78.05
https://vat.businesspress.io/pl/vat-number-validator/slovakia,0,18,0%,6.83
https://vat.businesspress.io/vat-calculator/slovenia,0,18,0%,22.61
https://vat.businesspress.io/el/vat-number-validator/spain,0,18,0%,29.22
https://vat.businesspress.io/de/vat-number-validator/denmark,0,18,0%,48.28
https://vat.businesspress.io/mt/vat-number-validator/poland,0,18,0%,61.06
https://vat.businesspress.io/bg/country/norway,0,18,0%,70.11
https://vat.businesspress.io/sl/vat-number-validator/united-kingdom,0,18,0%,72.33
https://vat.businesspress.io/lv/vat-number-validator/switzerland,0,18,0%,74
https://vat.businesspress.io/de/vat-number-validator/austria,0,18,0%,74.11
https://vat.businesspress.io/hu/vat-number-validator/switzerland,0,18,0%,75.83
https://vat.businesspress.io/bg/country/croatia,0,18,0%,85.44
https://vat.businesspress.io/et/top-vat-calculations/5000,0,17,0%,20.41
https://vat.businesspress.io/country/slovenia,0,17,0%,32.24
https://vat.businesspress.io/mt/country/spain,0,17,0%,39.71
https://vat.businesspress.io/el/country/poland,0,17,0%,50.65
https://vat.businesspress.io/de/vat-calculator/ireland,0,17,0%,62.47
https://vat.businesspress.io/lt/vat-number-validator/switzerland,0,17,0%,69.18
https://vat.businesspress.io/ga/vat-calculator/romania,0,17,0%,78.29
https://vat.businesspress.io/lt/vat-calculator/malta,0,17,0%,79.53
https://vat.businesspress.io/mt/vat-calculator/switzerland,0,17,0%,86.47
https://vat.businesspress.io/chrome-extension,0,16,0%,4.88
https://vat.businesspress.io/el/vat-number-validator/france,0,16,0%,9.31
https://vat.businesspress.io/it/vat-changes,0,16,0%,12.06
https://vat.businesspress.io/es/vat-number-validator/romania,0,16,0%,24.19
https://vat.businesspress.io/lt/vat-number-validator/ireland,0,16,0%,30.81
https://vat.businesspress.io/es/vat-number-validator/norway,0,16,0%,36.62
https://vat.businesspress.io/es/vat-number-validator/greece,0,16,0%,37.5
https://vat.businesspress.io/sv/vat-calculator/sweden,0,16,0%,44.81
https://vat.businesspress.io/it/country/netherlands,0,16,0%,53.94
https://vat.businesspress.io/mt/vat-number-validator/greece,0,16,0%,56
https://vat.businesspress.io/el/vat-number-validator/switzerland,0,16,0%,62.38
https://vat.businesspress.io/sk/vat-number-validator/norway,0,16,0%,72.25
https://vat.businesspress.io/bg/country/bulgaria,0,15,0%,9.47
https://vat.businesspress.io/vat-calculator/luxembourg-lu,0,15,0%,17.07
https://vat.businesspress.io/es/vat-number-validator/ireland,0,15,0%,22.73
https://vat.businesspress.io/vat-calculator/lithuania,0,15,0%,27.07
https://vat.businesspress.io/sv/vat-number-validator/france,0,15,0%,46.07
https://vat.businesspress.io/lt/vat-number-validator/norway,0,15,0%,53.87
https://vat.businesspress.io/de/country/greece,0,14,0%,10.64
https://vat.businesspress.io/es/vat-number-validator/france,0,14,0%,16.5
https://vat.businesspress.io/vat-calculator/iceland,0,14,0%,30.21
https://vat.businesspress.io/ga/country/turkey,0,14,0%,33.43
https://vat.businesspress.io/fr/vat-number-validator/united-kingdom,0,14,0%,37.5
https://vat.businesspress.io/mt/vat-number-validator/denmark,0,14,0%,57
https://vat.businesspress.io/mt/vat-number-validator/germany,0,14,0%,67.57
https://vat.businesspress.io/ga/vat-calculator/italy,0,14,0%,71.5
https://vat.businesspress.io/nl/country/lithuania,0,13,0%,14.69
https://vat.businesspress.io/fi/vat-number-validator,0,13,0%,25.46
https://vat.businesspress.io/pl/vat-number-validator/norway,0,13,0%,28.85
https://vat.businesspress.io/sv/vat-number-validator/finland,0,13,0%,32.62
https://vat.businesspress.io/lt/vat-number-validator/greece,0,13,0%,50.08
https://vat.businesspress.io/sv/vat-number-validator/portugal,0,13,0%,60
https://vat.businesspress.io/bg/country/poland,0,13,0%,79.08
https://vat.businesspress.io/sl/vat-calculator/croatia,0,13,0%,90.23
https://vat.businesspress.io/sl/country/hungary,0,13,0%,97.62
https://vat.businesspress.io/fi/vat-calculator/finland,0,12,0%,22.17
https://vat.businesspress.io/nl/vat-number-validator/turkey,0,12,0%,26.25
https://vat.businesspress.io/lt/vat-number-validator,0,12,0%,26.67
https://vat.businesspress.io/vat-number-validator/united-kingdom,0,12,0%,36.42
https://vat.businesspress.io/it/vat-calculator/malta,0,12,0%,45.92
https://vat.businesspress.io/hu/country/slovakia,0,12,0%,50.5
https://vat.businesspress.io/lv/vat-number-validator/spain,0,12,0%,54.25
https://vat.businesspress.io/hr/country/netherlands,0,12,0%,65.33
https://vat.businesspress.io/it/vat-number-validator/estonia,0,11,0%,9.18
https://vat.businesspress.io/mt/country/iceland,0,11,0%,25.82
https://vat.businesspress.io/country/cyprus,0,11,0%,29.55
https://vat.businesspress.io/vat-calculator/latvia,0,11,0%,30.36
https://vat.businesspress.io/sk/vat-number-validator/slovakia,0,11,0%,48
https://vat.businesspress.io/fr/vat-number-validator/denmark,0,11,0%,54.73
https://vat.businesspress.io/el/vat-number-validator/ireland,0,11,0%,55.91
https://vat.businesspress.io/ro/vat-number-validator/greece,0,11,0%,58.91
https://vat.businesspress.io/hr/country/spain,0,11,0%,61.45
https://vat.businesspress.io/el/country/denmark,0,11,0%,63.45
https://vat.businesspress.io/et/vat-number-validator/belgium,0,11,0%,64.73
https://vat.businesspress.io/fi/vat-number-validator/switzerland,0,11,0%,67.82
https://vat.businesspress.io/bg/country/sweden,0,11,0%,71
https://vat.businesspress.io/mt/vat-calculator/greece,0,11,0%,76.18
https://vat.businesspress.io/lt/vat-number-validator/italy,0,11,0%,76.82
https://vat.businesspress.io/mt/vat-calculator/netherlands,0,11,0%,85.36
https://vat.businesspress.io/hr/vat-calculator/croatia,0,10,0%,6.6
https://vat.businesspress.io/hr/country/poland,0,10,0%,8
https://vat.businesspress.io/sl/vat-validation-api,0,10,0%,8.4
https://vat.businesspress.io/es/vat-number-validator/iceland,0,10,0%,8.6
https://vat.businesspress.io/sv/country/spain,0,10,0%,10.2
https://vat.businesspress.io/el/country/latvia,0,10,0%,12
https://vat.businesspress.io/de/country/germany,0,10,0%,13.4
https://vat.businesspress.io/it/country/italy,0,10,0%,15.8
https://vat.businesspress.io/fi/vat-number-validator/norway,0,10,0%,22.2
https://vat.businesspress.io/et/top-vat-calculations/500,0,10,0%,28.8
https://vat.businesspress.io/lt/vat-calculator/latvia,0,10,0%,28.9
https://vat.businesspress.io/fi,0,10,0%,37.8
https://vat.businesspress.io/bg/vat-number-validator/germany,0,10,0%,43.5
https://vat.businesspress.io/fi/vat-number-validator/sweden,0,10,0%,43.9
https://vat.businesspress.io/de/vat-calculator/spain,0,10,0%,57.6
https://vat.businesspress.io/fi/country/estonia,0,10,0%,63.6
https://vat.businesspress.io/country/croatia,0,10,0%,64.8
https://vat.businesspress.io/sl/vat-number-validator/poland,0,10,0%,66.8
https://vat.businesspress.io/lv/vat-number-validator/united-kingdom,0,10,0%,68.2
https://vat.businesspress.io/bg/country/denmark,0,10,0%,71.4
https://vat.businesspress.io/lv/vat-number-validator/ireland,0,10,0%,91.2
https://vat.businesspress.io/da/vat-calculator/croatia,0,10,0%,98.4
https://vat.businesspress.io/lt/vat-calculator/cyprus,0,9,0%,6.56
https://vat.businesspress.io/es/vat-number-validator/denmark,0,9,0%,11.67
https://vat.businesspress.io/it/vat-map,0,9,0%,18.89
https://vat.businesspress.io/country/austria,0,9,0%,20
https://vat.businesspress.io/sv/vat-calculator/ireland,0,9,0%,23.33
https://vat.businesspress.io/vat-calculator/luxembourg,0,9,0%,33.33
https://vat.businesspress.io/es/vat-number-validator/germany,0,9,0%,35.33
https://vat.businesspress.io/lv/vat-calculator/hungary,0,9,0%,35.44
https://vat.businesspress.io/el/vat-number-validator/malta,0,9,0%,36.33
https://vat.businesspress.io/lt/vat-number-validator/turkey,0,9,0%,49.11
https://vat.businesspress.io/et/top-vat-calculations/100,0,9,0%,49.33
https://vat.businesspress.io/mt/vat-number-validator/austria,0,9,0%,53.89
https://vat.businesspress.io/de/country/slovakia,0,9,0%,55.33
https://vat.businesspress.io/el/country/lithuania,0,9,0%,56.56
https://vat.businesspress.io/da/vat-number-validator/spain,0,9,0%,58.22
https://vat.businesspress.io/sl/vat-number-validator/greece,0,9,0%,59.44
https://vat.businesspress.io/lt/vat-number-validator/germany,0,9,0%,65.56
https://vat.businesspress.io/et/vat-number-validator/poland,0,9,0%,83.89
https://vat.businesspress.io/ro/vat-number-validator/ireland,0,9,0%,84.11
https://vat.businesspress.io/et/vat-number-validator/denmark,0,9,0%,86.89
https://vat.businesspress.io/ga/vat-calculator/netherlands,0,9,0%,87.78
https://vat.businesspress.io/hr/country/sweden,0,8,0%,8.38
https://vat.businesspress.io/pl/vat-number-validator/czech-republic,0,8,0%,8.5
https://vat.businesspress.io/lv/vat-calculator/finland,0,8,0%,9
https://vat.businesspress.io/it,0,8,0%,14.12
